股票代码,股票名称,所属行业
600598,北大荒,粮食种植
601952,苏垦农发,粮食种植
300313,*ST天山,其他养殖
600965,福成股份,其他养殖
002321,华英农业,其他养殖
002501,利源股份,铝
002578,闽发铝业,铝
601388,怡球资源,铝
002160,常铝股份,铝
002532,天山铝业,铝
000807,云铝股份,铝
300337,银邦股份,铝
603876,鼎胜新材,铝
600595,中孚实业,铝
600219,南山铝业,铝
603271,永杰新材,铝
002988,豪美新材,铝
300057,万顺新材,铝
601600,中国铝业,铝
601702,华峰铝业,铝
000612,焦作万方,铝
601677,明泰铝业,铝
600768,宁波富邦,铝
603937,丽岛新材,铝
600361,创新新材,铝
000933,神火股份,铝
002824,和胜股份,铝
002379,宏桥控股,铝
002996,顺博合金,铝
002540,亚太科技,铝
600888,新疆众和,铝
300328,宜安科技,铝
003038,鑫铂股份,铝
600615,鑫源智造,铝
605208,永茂泰,铝
002064,华峰化学,氨纶
600988,赤峰黄金,黄金
600547,山东黄金,黄金
000975,山金国际,黄金
000506,招金黄金,黄金
600489,中金黄金,黄金
300139,晓程科技,黄金
001337,四川黄金,黄金
601069,西部黄金,黄金
002155,湖南黄金,黄金
002237,恒邦股份,黄金
920087,秋乐种业,种子
600313,农发种业,种子
300087,荃银高科,种子
600371,万向德农,种子
300189,神农种业,种子
000998,隆平高科,种子
920403,康农种业,种子
600354,敦煌种业,种子
002041,登海种业,种子
000713,国投丰乐,种子
603256,宏和科技,玻纤制造
301526,国际复材,玻纤制造
605006,山东玻纤,玻纤制造
300196,长海股份,玻纤制造
002201,九鼎新材,玻纤制造
002080,中材科技,玻纤制造
600176,中国巨石,玻纤制造
601112,振石股份,玻纤制造
600359,新农开发,种植业
600598,北大荒,种植业
601952,苏垦农发,种植业
920087,秋乐种业,种植业
600540,新赛股份,种植业
600313,农发种业,种植业
300087,荃银高科,种植业
600371,万向德农,种植业
002772,众兴菌业,种植业
300189,神农种业,种植业
000998,隆平高科,种植业
920403,康农种业,种植业
600354,敦煌种业,种植业
002041,登海种业,种植业
000713,国投丰乐,种植业
300970,华绿生物,种植业
300511,雪榕生物,种植业
600883,博闻科技,种植业
600108,亚盛集团,种植业
603336,宏辉果蔬,种植业
601118,海南橡胶,种植业
